,CATEGORY,COMPLAINT,category_id
0,Hardware Issue,projector room work projector turn noth happen press power button display,0
1,Software Issue,univers portal work could upload assign,1
2,Hardware Issue,mic confer room work mic pick sound plea check,0
3,Maintenance and Cleaning Issue,water tap bathroom first floor leak plea fix,2
4,Maintenance and Cleaning Issue,univers campu well maintain lot garbag litter spread across campu,2
5,Maintenance and Cleaning Issue,seat class broken need replac,2
6,Hardware Issue,hdmi cabl broken work wire need replac,0
7,Software Issue,comput lab realli slow requir softwar instal plea fix,1
8,Maintenance and Cleaning Issue,pathway front rector build destroy need repair alot bump hole pathway,2
9,Hardware Issue,street light univers campu work even plea fix,0
10,Maintenance and Cleaning Issue,bathroom urin work plea fix,2
11,Maintenance and Cleaning Issue,water suppli bathroom second floor,2
12,Maintenance and Cleaning Issue,tissu paper bathroom third floor,2
13,Hardware Issue,speaker class room work plea fix,0
14,Network Issue,internet work univers campu network speed realli slow,3
15,Hardware Issue,workstat librari work properli keyboard miss key oper system outdat,0
16,Hardware Issue,ethernet cabl graduat lab work cabl broken,0
17,Network Issue,comput lab connect network plea fix,3
18,Hardware Issue,projector room turn middl class give u new projector,0
19,Maintenance and Cleaning Issue,water suppli drink fountain first floor,2
20,Hardware Issue,light classroom work plea fix,0
21,Software Issue,univers cm misbehav show student class see attend student portal,1
22,Hardware Issue,cpu run bit hot compani provid machin im use overheat die im work intens task,0
23,Maintenance and Cleaning Issue,classroom extrem dirti dust tabl litter spread across floor plea check,2
24,Scheduling and Management Issue,classroom avail time slot alloc class plea fix time issu,4
25,Hardware Issue,univers laptop charg light turn plug wall socket,0
26,Network Issue,portal slow load tri differ network connect portal alway load minut refresh,3
27,Hardware Issue,lab pc turn plea come check pc need lab assign,0
28,Network Issue,internet work lab limit connect shown pc,3
29,Hardware Issue,charg socket offic work offic locat first floor c depart socket turn visual indic show sign turn either,0
30,Software Issue,univers portal give respons download attend web portal freez click attend sheet download button,1
31,Scheduling and Management Issue,class time final yet know time conduct class student concern lack punctual regard time class,4
32,Network Issue,internet wifi connect network use phone laptop,3
33,Network Issue,lan cabl project lab work limit connect shown plug laptop internet entir lab cut,3
34,Scheduling and Management Issue,clash two paper student concern two cours exam schedul timeslot cours offer semest kindli see chang schedul one exam,4
